name,address,contact,label,total,vacant
"Jeewan Mala Hospital, Rohtak Road","67/1 New Rohtak Road, Guru Gobind Singh Marg, Karol Bagh, New Delhi, Delhi 110005",01147774151,Pvt,2,2
"Kalra Hospital, Kirti Nagar","Tulsi Dass Kalra Marg, Kirti Nagar, New Delhi, Delhi 110015",01145005600,Pvt,2,0
"Lalita Hospital, Begumpur","Parnami Market Rd, Rajiv Nagar Extension, Sector 38, Begum Pur, Delhi 110081",8595075850,Pvt,1,1
LHMC,"Near, Panchkuian Marg, Shivaji Stadium, New Delhi 110055",01123498269,Central Govt,44,37
Lok Nayak Hospital,"Jawahar Lal Nehru Marg, Delhi 110002",9873617028,Delhi Govt,50,20
"Madhukar Rainbow Children Hosp., Malviya Nagar","Geetanjali FC-29 5 Near Malviya Nagar Metro Station, New Delhi, Delhi 110017",9100065913,Pvt,2,2
Maha Durga Charitable Trust Hospital,"Rishabh Park, Phase 3, Model Town, Delhi 110009",01135213270,Pvt,5,4
"Maharaja Agarsain Multispecialty Hospital, Narela","Bawana Road, Swatantra Nagar, Narela, New Delhi, Delhi 110040",9891654929,Pvt,1,0
"Maharaja Agrasen Hospital, Dwarka","Sector-1, Dwaraka, New Delhi 110075",01141347700,Pvt,1,1
"Maharaja Agrasen Hospital, Punjabi Bagh","Near Metro Station Jain Muni Guru Ramkrishan Marg Block C, Shivaji Park, West Punjabi Bagh, Delhi 110026",01140777747,Pvt,4,0
"MANIPAL HOSPITAL, DWARKA","Sector 6 adjoining MTNL building, Main Rd, Dwarka, New Delhi, Delhi 110075",8947091532,Pvt,10,8
"Mansaram Hospital, Nangloi","Main Najafgarh Rd, Ram Nagar Colony, Ram Nagar, Nangloi, New Delhi, Delhi 110041",8285853737,Pvt,1,1
"Mata Chanan Devi Hospital, Janakpuri","c1, Lal Sai Mandir Marg, Block C1, Janakpuri, New Delhi, Delhi 110058",9811560885,Pvt,7,6
"Mata Roop Rani Maggo Hospital, Uttam Nagar","C-9, Metro Pillar No. 709, Om Vihar, Uttam Nagar, Delhi 110059",01161290000,Pvt,2,2
"Max Smart Gujarmal Modi hospital ,Saket","Press Enclave Marg, Saket District Centre, Saket, New Delhi, Delhi 110017",01171212121,Pvt,20,12
"MAX SS HOSPITAL, PATPARGANJ","108A, I.P.Extension, Patparganj, Delhi 110092",8800333777,Pvt,10,10
"Max SS Hospital, Shalimar Bagh","FC 50, C and D Block, Shalimar Place Site, Shalimar Bagh, New Delhi, Delhi 110088",9560638592,Pvt,5,0
"Medeor Hospital, Qutab Instl. Area","B-33, 34, Qutab Institutional Area., New Delhi, Delhi 110016",01141222222,Pvt,6,6
"Medstar Hospital, Paschim Vihar","Outer Ring Rd, Block A, Meera Bagh, Paschim Vihar, New Delhi, Delhi 110087",9717006697,Pvt,1,1
"Metro Hospital, Preet Vihar","Community Center, 21, Acharya Nagraj Marg, C Block, Preet Vihar, New Delhi, Delhi 110092",01149286666,Pvt,2,0
"MGS Hospital, Punjabi Bagh","Rohtak Road, Punjabi Bagh West, Punjabi Bagh West, New Delhi, Delhi 110026",01145111444,Pvt,3,1
"Mool Chand Khairati Ram Hospital, Lajpat Nagar","Lala Lajpat Rai Marg, Near Moolchand Metro Station, Block M, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110024",01142000384,Pvt,1,0
"National Heart Institute, East of Kailash","Raja Dhirsain Marg, D Block, East of Kailash, New Delhi, Delhi 110048",01146600700,Pvt,2,2
"Navjeevan Hospital, Pitampura","655, Onkar Nagar B, Onkar Nagar, Tri Nagar, New Delhi, Delhi 110035",01141687046,Pvt,1,0
"NKS Hospital, Gulabi Bagh","219, 220, Sanjay Nagar, Gulabi Bagh, Delhi 110007",01123666666,Pvt,1,1
Northern Railway,Delhi,01123747984,Central Govt,10,0
"Park Hospital, Meera Bagh","Bus Depot, Meera Enclave Outer Ring Road Near Kashopur, New Chaukhandi, Vishnu Garden, New Delhi, Delhi 110018",01145323232,Pvt,2,2
"Primus Super Specialty Hospital, Chanakyapuri","2, Chandragupta Marg, Chanakyapuri, New Delhi, Delhi 110021",01166206630,Pvt,2,2
"Pushpawati Singhania Hospital, Saket",Delhi,9717159780,Pvt,3,3
Rajeev Gandhi Super Speciality Hospital,"Taharpur Rd, Taharpur, Taharpur Village, Dilshad Garden, New Delhi, Delhi 110093",8595524745,Delhi Govt,200,164
"Rajiv Gandhi Cancer Institute & RC, Rohini*","Sir Chotu Ram Marg, Rohini Institutional Area, Sector 5, Rohini, New Delhi, Delhi 110085",01147022524,Pvt,1,1
Ram Manohar Lohia Hospital,"Baba Kharak Singh Rd, near Gurudwara Bangla Sahib, New Delhi 110001",01123365525,Central Govt,18,6
"Rathi Hospital, Najafgarh","3, Nangloi - Najafgarh Rd, Pratap Vihar, Ranhola, Delhi 110041",9871173355,Pvt,3,3
"Revive Hospital,tilak nagar","5A/2, Tilak Nagar, Opp. Metro Pillar No.491, Tilak Nagar, near Police Station, New Delhi, Delhi 110018",9891534100,Pvt,1,1
"RLKC Metro Hospital, Naraina","Pandav Nagar, Naraina Road, Near Shadipur Metro Station, New Delhi, Delhi 110008",8130991355,Pvt,1,1
Safdarjung Hospital,"Ansari Nagar East, New Delhi 110029",01126730000,Central Govt,41,34
"Samar Hospital, Dwarka","Opp. St. Thomas School, Goyla Vihar, Sector 19, Dwarka, New Delhi 110071",9818096199,Pvt,1,1
"Sant Parmanand Hospital, Civil Lines","18, Sham Nath Marg, Civil Lines, New Delhi, Delhi 110054",01123994401,Pvt,5,5
"Santom Hospital, Prashant Vihar","D-5-6, Outer Ring Rd, Prashant Vihar, Sector 14, Rohini, New Delhi, Delhi 110085",01127561024,Pvt,1,1
Saroj Super Speciality Hospital,"Bhagawan Mahavir Marg, Near Madhuban Chowk, Block A, Sector 14, Rohini, New Delhi, Delhi 110085",01147903333,Pvt,4,4
"Satyabhama Hospital, Nangloi","RZ-10, Naresh Park, Najafgarh Road, Nangloi, Near Water Tank, New Delhi, Delhi 110041",9311116607,Pvt,1,1
"Shanti Mukand Hospital, Vikas Marg Extn.","2, Institutional Area, Bhartendu Harish Chandra Marg, Vikas Marg Extension, Karkardooma, New Delhi, Delhi 110092",01147276600,Pvt,5,5
"Shree Agarsain International Hospital, Rohini- 22","Aman Vihar, Police Station, PSP, CH Bhim Singh Nambardar Marg, Sector 22, Rohini, New Delhi, Delhi 110086",01166636600,Pvt,15,0
"Shri Ram Singh Hospital, Krishna Nagar","B-25 26 26a, Swarn Cinema Road, East Krishna Nagar, Delhi 110051",9311101776,Pvt,1,1
Sir Ganga Ram City Hospital,"B-2, Pusa Rd, North Extension Area, Rajinder Nagar, New Delhi, Delhi 110005",01142255555,Pvt,6,6
Sir Ganga Ram Hospital,"Sarhadi Gandhi Marg, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi 110060",9818840984,Pvt,42,10
"Sri Balaji Action Medical Inst., Paschim Vihar","A 4 Block, A 6 Block, Paschim Vihar, New Delhi, Delhi 110063",01142888888,Pvt,4,1
"St. Stephens Hospital, Tis Hazari","St. Stephen's Hospital Marg, Tis Hazari, New Delhi 110054",7291977113,Pvt,6,5
"Tarak Hospital, Uttam Nagar","C-7, Jai Bharat Enclave , Dwarka More, New Delhi, Najafgarh Rd, Block C, Dwarka, Delhi 110059",8285882288,Pvt,2,2
"Tirath Ram Shah Charitable Hospital, Civil Lines","2A Isher Das Sawhney Marg Near Tis Hazari Metro Station R.B.L, New Delhi, Delhi 110054",8375975629,Pvt,2,2
"Venkateshwar Hospital, Dwarka","Sector 18, Sector 18A Dwarka, Dwarka, New Delhi, Delhi 110075",01148555555,Pvt,5,0
"Vikas Hospital, Najafgarh",Delhi,8744077882,Pvt,2,2
VIMHANS,"Institutional Area, 1, Nehru Nagar, Lajpat Nagar, New Delhi, Delhi 110065",01166176617,Pvt,20,20
World Brain Center Hospital,"Plot No-24, KH No.-15/4/1/4/2, Syndicate Enclave, Pankha Road, Janakpuri, New Delhi 110045",9999345867,Pvt,1,1
