name,address,contact,label,total,vacant
"Revive Hospital,tilak nagar","5A/2, Tilak Nagar, Opp. Metro Pillar No.491, Tilak Nagar, near Police Station, New Delhi, Delhi 110018",9891534100,Pvt,15,11
"RLKC Metro Hospital, Naraina","Pandav Nagar, Naraina Road, Near Shadipur Metro Station, New Delhi, Delhi 110008",8130991355,Pvt,31,29
Safdarjung Hospital,"Ansari Nagar East, New Delhi 110029",01126730000,Central Govt,195,172
"Samar Hospital, Dwarka","Opp. St. Thomas School, Goyla Vihar, Sector 19, Dwarka, New Delhi 110071",9818096199,Pvt,30,30
"Sanjeevan Medical Res. , Daryaganj","24, Ansari Rd, Daryaganj, New Delhi, Delhi 110002",01145770000,Pvt,7,7
"Sant Parmanand Hospital, Civil Lines","18, Sham Nath Marg, Civil Lines, New Delhi, Delhi 110054",01123994401,Pvt,22,21
"Santom Hospital, Prashant Vihar","D-5-6, Outer Ring Rd, Prashant Vihar, Sector 14, Rohini, New Delhi, Delhi 110085",01127561024,Pvt,20,9
Saroj Super Speciality Hospital,"Bhagawan Mahavir Marg, Near Madhuban Chowk, Block A, Sector 14, Rohini, New Delhi, Delhi 110085",01147903333,Pvt,57,45
"Satyabhama Hospital, Nangloi","RZ-10, Naresh Park, Najafgarh Road, Nangloi, Near Water Tank, New Delhi, Delhi 110041",9311116607,Pvt,6,5
"Sehgal Neo Hospital, Paschim Vihar","B-362, 363, 364, Outer Ring Rd, Near to ICICI Bank, Block B, Meera Bagh, Paschim Vihar, New Delhi, Delhi 110063",01145565656,Pvt,25,12
"Shakuntala Nursing Home, West Sagarpur","RZ-I-81A, RZ Block Road, Sagar Pur, New Delhi, Delhi 110046",9211783762,Pvt,21,19
"Shanti Mukand Hospital, Vikas Marg Extn.","2, Institutional Area, Bhartendu Harish Chandra Marg, Vikas Marg Extension, Karkardooma, New Delhi, Delhi 110092",01147276600,Pvt,30,15
"Shree Agarsain International Hospital, Rohini- 22","Aman Vihar, Police Station, PSP, CH Bhim Singh Nambardar Marg, Sector 22, Rohini, New Delhi, Delhi 110086",01166636600,Pvt,47,0
"Shri Ram Singh Hospital, Krishna Nagar","B-25 26 26a, Swarn Cinema Road, East Krishna Nagar, Delhi 110051",9311101776,Pvt,20,20
Sir Ganga Ram City Hospital,"B-2, Pusa Rd, North Extension Area, Rajinder Nagar, New Delhi, Delhi 110005",01142255555,Pvt,37,37
Sir Ganga Ram Hospital,"Sarhadi Gandhi Marg, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi 110060",9818840984,Pvt,59,10
"Sri Balaji Action Medical Inst., Paschim Vihar","A 4 Block, A 6 Block, Paschim Vihar, New Delhi, Delhi 110063",01142888888,Pvt,60,7
"St. Stephens Hospital, Tis Hazari","St. Stephen's Hospital Marg, Tis Hazari, New Delhi 110054",7291977113,Pvt,89,73
"Surya Hospital, Krishna Nagar","383/11-C, East Azad Nagar, Block E, Krishna Nagar, New Delhi 110051",01122002795,Pvt,10,10
"Tarak Hospital, Uttam Nagar","C-7, Jai Bharat Enclave , Dwarka More, New Delhi, Najafgarh Rd, Block C, Dwarka, Delhi 110059",8285882288,Pvt,28,26
"Tirath Ram Shah Charitable Hospital, Civil Lines","2A Isher Das Sawhney Marg Near Tis Hazari Metro Station R.B.L, New Delhi, Delhi 110054",8375975629,Pvt,36,24
"Universal Centre of Health services, Kalkaji","Bypass Rd, Block D, Molar band Extension, Badarpur, New Delhi, 0044",8800800500,Pvt,10,10
"Venkateshwar Hospital, Dwarka","Sector 18, Sector 18A Dwarka, Dwarka, New Delhi, Delhi 110075",01148555555,Pvt,58,34
"Vikas Hospital, Najafgarh",Delhi,8744077882,Pvt,10,9
VIMHANS,"Institutional Area, 1, Nehru Nagar, Lajpat Nagar, New Delhi, Delhi 110065",01166176617,Pvt,50,40
World Brain Center Hospital,"Plot No-24, KH No.-15/4/1/4/2, Syndicate Enclave, Pankha Road, Janakpuri, New Delhi 110045",9999345867,Pvt,17,17
